config,run,op,ms
fusion,3,ReduceScatter,1.24334
fusion,3,TopK,21.818845
fusion,3,Sampling,0.107898
fusion,4,Other,0.97753
fusion,4,__TOTAL__,36.384446
fusion,4,Slice,0.121301
fusion,4,AllGather,0.873513
fusion,4,RMSNorm/LayerNorm,0.367387
fusion,4,Matmul,10.276859
fusion,4,BinaryNg,0.293523
fusion,4,ShardedToInterleaved,0.128482
fusion,4,SDPA decode,0.171224
fusion,4,ReduceScatter,1.247726
fusion,4,TopK,21.818889
fusion,4,Sampling,0.108012
fusion,5,Other,0.977534
fusion,5,__TOTAL__,36.383216
fusion,5,Slice,0.124197
fusion,5,AllGather,0.873336
fusion,5,RMSNorm/LayerNorm,0.366842
fusion,5,Matmul,10.275828
fusion,5,BinaryNg,0.294199
fusion,5,ShardedToInterleaved,0.128417
fusion,5,SDPA decode,0.171728
fusion,5,ReduceScatter,1.243909
fusion,5,TopK,21.818879
fusion,5,Sampling,0.108347
topk_padding,1,Other,1.246493
topk_padding,1,__TOTAL__,56.787144
topk_padding,1,Slice,0.008369
topk_padding,1,AllGather,0.887402
topk_padding,1,RMSNorm/LayerNorm,0.365855
topk_padding,1,Matmul,11.838226
topk_padding,1,BinaryNg,0.687585
topk_padding,1,ShardedToInterleaved,0.099257
topk_padding,1,SDPA decode,0.157408
topk_padding,1,ReduceScatter,1.233327
topk_padding,1,TopK,40.155047
topk_padding,1,Sampling,0.108175
topk_padding,2,Other,1.248086
topk_padding,2,__TOTAL__,56.86141
topk_padding,2,Slice,0.008395
topk_padding,2,AllGather,0.939411
topk_padding,2,RMSNorm/LayerNorm,0.366141
topk_padding,2,Matmul,11.840543
topk_padding,2,BinaryNg,0.687452
topk_padding,2,ShardedToInterleaved,0.104214
topk_padding,2,SDPA decode,0.157509
topk_padding,2,ReduceScatter,1.238818
topk_padding,2,TopK,40.162739
topk_padding,2,Sampling,0.108102
topk_padding,3,Other,1.248854
topk_padding,3,__TOTAL__,56.794383
topk_padding,3,Slice,0.008271
topk_padding,3,AllGather,0.878109
topk_padding,3,RMSNorm/LayerNorm,0.366164
topk_padding,3,Matmul,11.839264
topk_padding,3,BinaryNg,0.687203
topk_padding,3,ShardedToInterleaved,0.10406
topk_padding,3,SDPA decode,0.15761
topk_padding,3,ReduceScatter,1.241898
topk_padding,3,TopK,40.154989
topk_padding,3,Sampling,0.107961
topk_padding,4,Other,1.248642
topk_padding,4,__TOTAL__,56.792879
topk_padding,4,Slice,0.008416
topk_padding,4,AllGather,0.87954
topk_padding,4,RMSNorm/LayerNorm,0.365732
topk_padding,4,Matmul,11.8405
topk_padding,4,BinaryNg,0.686735
topk_padding,4,ShardedToInterleaved,0.099643
topk_padding,4,SDPA decode,0.157703
topk_padding,4,ReduceScatter,1.242988
topk_padding,4,TopK,40.155017
topk_padding,4,Sampling,0.107963
topk_padding,5,Other,1.248362
